Customer Code,Capacity in KW,State,District,Latitude,Longitude,Total Cost (Rs),CFA (Rs),Commissioning Date(installation date),Approval Number,Financial Year,Installed by Agency
36549,20.00,KARNATAKA,Gadag,15.233760051104,75.580612728372,0,0.00,14-09-2016,---,---,ARROW POWER CONTROLS
36547,3.00,KARNATAKA,Tumkur,14.097885361252,77.279854416847,241500,0.00,27-04-2017,---,---,PEnA Power Engineering and Automation  Pvt.  Limited
36541,100.00,KARNATAKA,Gadag,15.273919268494,75.529121775180,0,0.00,25-08-2016,---,---,ARROW POWER CONTROLS
36540,3.00,KARNATAKA,Kolar,13.671079602013,77.702892780380,241500,0.00,27-04-2017,---,---,PEnA Power Engineering and Automation  Pvt.  Limited
36538,180.00,MAHARASHTRA,Mumbai,19.102259342791,72.922718524932,0,0.00,27-12-2016,---,---,Switching AVO Electro Power Ltd.
36536,15.00,NCT OF DELHI,North,28.6139391,77.209021200000,0,0.00,16-05-2016,---,---,ASHVA ENERGY PRIVATE LIMITED
36535,60.00,MAHARASHTRA,Mumbai,19.197191174554,72.956615863367,0,0.00,28-12-2016,---,---,Switching AVO Electro Power Ltd.
36534,100.00,ASSAM,Tinsukia,27.3912,95.6164,0,0.00,09-05-2017,---,---,ASHVA ENERGY PRIVATE LIMITED
36533,60.00,MAHARASHTRA,Mumbai,19.118412290925,72.907288782298,0,0.00,30-11-2016,---,---,Switching AVO Electro Power Ltd.
36532,50.00,KARNATAKA,Gadag,15.279763788765,75.517288455739,0,0.00,22-08-2016,---,---,ARROW POWER CONTROLS
36531,25.00,UTTAR PRADESH,Gautam Buddha Nagar,28.603341,77.353977399999,0,0.00,02-01-2017,---,---,ASHVA ENERGY PRIVATE LIMITED
36530,10.00,KERALA,Kannur,12.0254866,75.266535900000,800000,240000.00,03-03-2017,5/38/2013-14/RT,2014-2015,"Agency for Non-Conventional Energy and  Rural Technology (ANERT),"
36529,10.00,WEST BENGAL,Kolkata,22.537234696976,88.348896084353,0,0.00,24-08-2016,---,---,Switching AVO Electro Power Ltd.
36526,10.00,WEST BENGAL,Kolkata,22.489144595147,88.337733149528,0,0.00,25-05-2016,---,---,Switching AVO Electro Power Ltd.
36525,10.00,UTTAR PRADESH,Pratapgarh,25.892853900926,81.950750828837,0,0.00,06-02-2017,---,---,GURUKRIPA ELECTROPOWER PVT.LTD
36524,128.50,MAHARASHTRA,Satara,17.660778598731,74.043184518814,0,0.00,29-10-2016,---,---,Novae Manufacturing Solutions Pvt. Ltd.
36522,30.00,MAHARASHTRA,Jalna,19.846454805508,75.844413265585,0,0.00,30-08-2016,---,---,Switching AVO Electro Power Ltd.
36521,2.00,KERALA,Ernakulam,9.9575402481640,76.298391893506,280000,0.00,09-05-2017,---,---,FURBO SECURITY SOLUTIONS PVT LTD
36519,10.00,GUJARAT,Vadodara,22.310607466137,73.174105673097,0,0.00,22-06-2016,---,---,Switching AVO Electro Power Ltd.
36516,25.00,KARNATAKA,Gadag,15.235224831999,75.581170627847,0,0.00,14-09-2016,---,---,ARROW POWER CONTROLS
36515,125.00,MAHARASHTRA,Pune,18.592639836693,73.735908508824,0,0.00,23-12-2016,---,---,Renew Solar Energy Pvt. Ltd.
36514,15.00,TAMIL NADU,Tiruchirappalli,10.830294,78.6067071,0,0.00,30-04-2017,---,---,Solarcare India Private Limited
36511,6.00,KERALA,Thrissur,10.538346909645,76.214628517627,587000,0.00,19-06-2017,---,---,FURBO SECURITY SOLUTIONS PVT LTD
36504,999.00,GUJARAT,Ahmadabad,24.421363186312,72.696226257830,0,0.00,30-03-2017,---,---,SNK Technologies
36502,120.00,ANDHRA PRADESH,Visakhapatnam,14.751477299205,77.599782943725,0,0.00,31-03-2017,---,---,RCL CONTROLS
36499,2.80,TAMIL NADU,Theni,10.024718042906,77.478193044662,0,0.00,16-03-2016,---,---,SUN BEST
36495,4.00,KERALA,Ernakulam,9.9714962734363,76.313841417431,0,0.00,16-11-2016,---,---,FURBO SECURITY SOLUTIONS PVT LTD
36494,4.00,KERALA,Ernakulam,9.9714962734363,76.313841417431,0,0.00,16-11-2016,---,---,FURBO SECURITY SOLUTIONS PVT LTD
36484,999.00,GUJARAT,Ahmadabad,24.4215625,72.696216699999,0,0.00,30-03-2017,---,---,SNK Technologies
36483,100.00,TAMIL NADU,Coimbatore,10.879085839790,77.000761181116,0,0.00,19-09-2013,---,---,SUN BEST
36478,10.00,MAHARASHTRA,Pune,28.588186269753,77.234706804156,705000,0.00,24-05-2017,---,---,UNPA Engineering
36477,500.00,TAMIL NADU,Dindigul,10.441347977416,77.507021427154,0,0.00,06-03-2017,---,---,SUN BEST
36475,2.00,TAMIL NADU,Tirunelveli,28.586381564985,77.235516328364,0,0.00,10-04-2017,---,---,RK TECH INDIA PVT LTD
36474,2.00,TAMIL NADU,Nagapattinam,28.587912459167,77.235189098864,0,0.00,21-04-2017,---,---,RK TECH INDIA PVT LTD
36473,2.00,TAMIL NADU,Ramanathapuram,9.9435776999999,78.156103300000,0,0.00,30-04-2017,---,---,RK TECH INDIA PVT LTD
36472,2.00,TAMIL NADU,Coimbatore,28.587220633918,77.231412087567,0,0.00,05-04-2017,---,---,RK TECH INDIA PVT LTD
36470,30.00,NCT OF DELHI,Central,28.4562074,77.186618299999,0,0.00,31-03-2017,---,---,GP Eco Solutions India Pvt Ltd
36455,5.00,MADHYA PRADESH,Indore,22.7051,75.9209,0,0.00,14-04-2017,---,---,Rudra Infrabuild Private limited
36452,5.00,MADHYA PRADESH,Bhopal,22.7051,75.9209,0,0.00,12-04-2017,---,---,Rudra Infrabuild Private limited
36451,3.00,MADHYA PRADESH,Bhopal,23.2140,77.3892,0,0.00,30-04-2017,---,---,Rudra Infrabuild Private limited
36449,4.48,HARYANA,Kurukshetra,29.972691924349,76.880226144567,0,0.00,03-04-2017,---,---,SONNE POWER PRIVATE LIMITED
36445,5.00,MADHYA PRADESH,Bhopal,23.2192,77.4327,0,0.00,24-04-2017,---,---,Rudra Infrabuild Private limited
36438,1.00,WEST BENGAL,Murshidabad,24.2415,88.2651,75000,0.00,26-05-2017,---,---,Satyajit Limited
36426,15.00,NCT OF DELHI,South,28.50,77.21,0,0.00,15-06-2017,---,---,Dovins Power Private Limited
36425,20.00,MAHARASHTRA,Pune,18.477079521149,73.876352710649,130000,0.00,15-05-2017,---,---,Greenergy Sustainables LLP
36421,3.00,MADHYA PRADESH,Bhopal,23.19206,77.44464,225000,0.00,21-06-2017,---,---,Sunrita Solar Energy Pvt. Ltd.
36416,1.50,JHARKHAND,Ranchi,23.380185567731,85.305018424987,0,0.00,21-06-2017,---,---,4E Junction
36415,15.00,MAHARASHTRA,Mumbai,19.169844942683,72.955608129414,0,0.00,17-06-2017,---,---,PRAJASH PROJECTS & SERVICES PVT. LTD.
36412,24.00,MAHARASHTRA,Chandrapur,19.052425797477,78.446777611970,1370000,0.00,22-06-2017,---,---,Glow Energy Transmission
36409,30.00,MAHARASHTRA,Thane,19.256383148472,73.101412234827,0,0.00,05-03-2016,---,---,Novae Manufacturing Solutions Pvt. Ltd.
36407,20.00,GUJARAT,Kheda,22.7782003,72.6432047,1405893,0.00,14-04-2017,---,---,SOPAN O&M; CO PVT LTD
36406,1076.00,MAHARASHTRA,Mumbai,12.7190267,77.876981200000,0,0.00,31-03-2017,---,---,Oriano Clean Energy Pvt. Ltd.
36404,5.00,UTTAR PRADESH,Gorakhpur,26.773228171200,83.394434165958,365000,0.00,21-06-2017,---,---,Scolex Power And Clean Energy Private Limited
36401,2.00,TAMIL NADU,Thanjavur,28.583001374739,77.218418419361,0,0.00,28-04-2017,---,---,RK TECH INDIA PVT LTD
36400,2.00,TAMIL NADU,Ramanathapuram,9.5483949,78.591633499999,0,0.00,04-04-2017,---,---,RK TECH INDIA PVT LTD
36396,2.00,TAMIL NADU,Perambalur,11.3258333,78.630833299999,0,0.00,27-04-2017,---,---,RK TECH INDIA PVT LTD
36395,5.00,RAJASTHAN,Bikaner,28.045652242532,73.313164422288,0,0.00,19-06-2017,---,---,PowerXP Consultants Pvt. Ltd.
36392,5.00,RAJASTHAN,Bikaner,28.045986023688,73.313915440812,0,0.00,19-06-2017,---,---,PowerXP Consultants Pvt. Ltd.
36391,2.00,TAMIL NADU,Chennai,13.0279241,80.2582678,0,0.00,27-04-2017,---,---,RK TECH INDIA PVT LTD
36388,2.00,TAMIL NADU,Thiruvarur,10.7713187,79.636997399999,0,0.00,26-04-2017,---,---,RK TECH INDIA PVT LTD
36386,10.00,RAJASTHAN,Bikaner,28.045413150428,73.313767919316,0,0.00,19-06-2017,---,---,PowerXP Consultants Pvt. Ltd.
36385,2.00,TAMIL NADU,Nagapattinam,11.1018399,79.6522218,0,0.00,26-04-2017,---,---,RK TECH INDIA PVT LTD
36383,10.00,KARNATAKA,Mysore,12.0613302,76.676255699999,0,0.00,17-04-2017,---,---,Powergate Energy (Mysore) Pvt Ltd
36382,2.00,TAMIL NADU,Theni,9.9329831999999,77.470197200000,0,0.00,24-04-2017,---,---,RK TECH INDIA PVT LTD
36381,300.00,MAHARASHTRA,Nashik,19.954037674789,73.748002052307,16000000,0.00,06-06-2017,---,---,Novae Manufacturing Solutions Pvt. Ltd.
36379,4.00,UTTAR PRADESH,Etah,27.450887599999,78.170693900000,0,0.00,11-04-2017,---,---,Esstech Engineers
36378,49.50,GUJARAT,Surat,21.213576751725,72.834184329876,2400000,0.00,22-06-2017,---,---,JJ PV SOLAR PRIVATE LIMITED
36377,100.00,MAHARASHTRA,Ratnagiri,17.5182812,73.600805400000,0,0.00,03-05-2016,---,---,Sure Energy Systems Private Limited
36368,2.00,TAMIL NADU,Salem,8.9916316,77.531846299999,0,0.00,22-04-2017,---,---,RK TECH INDIA PVT LTD
36366,90.00,GUJARAT,Surat,21.3547458,72.960820199999,4680000,0.00,16-06-2017,---,---,JJ PV SOLAR PRIVATE LIMITED
36360,2.00,TAMIL NADU,Thanjavur,10.9616945,79.388113200000,0,0.00,21-04-2017,---,---,RK TECH INDIA PVT LTD
36352,2.00,TAMIL NADU,Kanniyakumari,8.1619536702541,77.498493343591,0,0.00,13-04-2017,---,---,RK TECH INDIA PVT LTD
36351,2.00,TAMIL NADU,The Nilgiris,10.814163,78.674953,0,0.00,25-04-2017,---,---,RK TECH INDIA PVT LTD
36346,10.00,HARYANA,Gurgaon,28.45,77.05,625000,0.00,20-05-2017,---,---,Roop Arinna Fabricators Pvt Ltd
36345,40.00,MAHARASHTRA,Nashik,19.515210298678,74.201332926750,0,0.00,03-06-2017,---,---,Harikrupa Automation Private Limited
36343,50.00,KERALA,Ernakulam,10.1758208,76.410877700000,3948864,1102540.00,20-06-2017,5/38/2013-14/RT,2014-2015,"Agency for Non-Conventional Energy and  Rural Technology (ANERT),"
36336,10.00,KERALA,Malappuram,10.8431401,76.031941599999,933000,240000.00,29-03-2017,5/38/2013-14/RT,2014-2015,"Agency for Non-Conventional Energy and  Rural Technology (ANERT),"
36324,100.00,MAHARASHTRA,Ratnagiri,17.5182812,73.600805400000,0,0.00,02-05-2015,---,---,Sure Energy Systems Private Limited
36323,25.00,KERALA,Ernakulam,10.113879,76.477975000000,2132353,567000.00,20-06-2017,5/38/2013-14/RT,2014-2015,"Agency for Non-Conventional Energy and  Rural Technology (ANERT),"
36321,45.00,KARNATAKA,Gadag,15.3523579,75.152083199999,0,0.00,08-02-2017,---,---,PEnA Power Engineering and Automation  Pvt.  Limited
36309,3.00,NCT OF DELHI,North West,28.629508,77.094578,0,0.00,18-04-2017,---,---,Sunfuel Technologies LLP
